Ticker,INTU,INTU,INTU,INTU,INTU
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,632.8185874250071,633.5437761362822,615.363913616594,618.7018432617188,1179400
2025-01-03,624.374393067077,626.8579825383064,620.4205380319225,626.093017578125,993400
2025-01-06,622.8545131419907,629.2423597068132,618.9106014954571,621.056396484375,1260700
2025-01-07,619.2681365088137,622.536579153759,607.9032283337237,611.3901977539062,1030200
2025-01-08,612.383642866105,623.4902481957588,609.6815265066488,621.9404907226562,1226000
2025-01-10,615.8008013569653,630.5081827554258,614.2583650744383,620.3682250976562,2390000
2025-01-13,617.3331826703887,618.9452216363976,609.2928483158884,610.2083129882812,1684400
2025-01-14,611.9796197562528,620.9254584639685,611.2432637525842,620.7363891601562,1697300
2025-01-15,620.7363836133312,624.4182243341746,607.6111598628511,618.39794921875,1938100
2025-01-16,620.258823467374,620.6867044082162,603.7701930255474,604.2876586914062,2834100
2025-01-17,612.8452959282109,612.8452959282109,593.271917466765,601.1629638671875,2836700
2025-01-21,603.0138664521028,608.0589740756383,599.720124875641,606.4170532226562,1665900
2025-01-22,606.6857257418121,614.5071090488227,606.6857257418121,608.6759033203125,1213700
2025-01-23,605.8100659887347,605.8100659887347,594.5556137799838,595.3616333007812,2241400
2025-01-24,599.0335036310136,599.5708904596236,592.515684065883,595.0133666992188,1901200
2025-01-27,584.0773285020628,611.3726062776382,583.122021414524,603.6407470703125,1985500
2025-01-28,605.6309508190909,610.6959796201553,597.2423593817551,597.7100219726562,1675000
2025-01-29,596.7050231732765,600.5758724461069,587.2914612611772,590.0776977539062,1457500
2025-01-30,592.4162048141959,602.6854679893006,590.784244572922,601.6306762695312,1219700
2025-01-31,601.9092914158975,607.8997451606308,596.9139264268795,598.5558471679688,1640100
2025-02-03,597.4514139117252,598.8743837839578,582.1369808038911,597.8096313476562,2244500
2025-02-04,593.4113313609384,605.4916642446865,587.221846924712,588.81396484375,1737500
2025-02-05,590.5056033787873,590.6748122113502,577.2510127203725,585.3709716796875,2134400
2025-02-06,585.3709778342936,592.2370544723102,582.9230373934648,587.3014526367188,1533900
2025-02-07,587.6895349173768,593.2520474281873,574.3851414723567,576.0071411132812,1430900
2025-02-10,572.1760684870086,585.9082819836166,572.1760684870086,583.9579467773438,1571300
2025-02-11,578.2361710775323,589.0726418299754,578.2361710775323,583.0026245117188,1856700
2025-02-12,575.2310111670203,578.1167323524475,565.9169942312341,573.70849609375,1737800
2025-02-13,577.7087861518777,589.0926051400819,576.1564499596409,581.0324096679688,1609900
2025-02-14,581.8184480706362,588.4855548931783,577.2410640801495,584.4952392578125,1348800
2025-02-18,586.9631227719684,587.1422314853518,573.2309081272535,577.0918579101562,2053900
2025-02-19,575.8976810128739,580.0173632114877,572.7631877416331,579.3307495117188,2063000
2025-02-20,580.1567365897516,583.2215666018736,570.5740258439906,576.236083984375,2703900
2025-02-21,577.698765514486,579.2909439663327,558.4935646586059,562.6928100585938,2006400
2025-02-24,563.1804805128979,569.9371116169518,560.5335102864929,564.4541625976562,2040900
2025-02-25,564.5238137524194,568.6136140646217,550.5229073196501,552.9011840820312,3014500
2025-02-26,632.3789774184269,635.8518278599917,612.4174970988051,622.4380493164062,4674200
2025-02-27,621.9304907524752,624.9057965025711,596.6850931306826,597.47119140625,2451700
2025-02-28,597.9687267431904,611.8303060229133,595.4312625264276,610.8253173828125,2444400
2025-03-03,614.8255369367209,617.7610609747858,596.4562369912464,598.137939453125,1597400
2025-03-04,601.3122746276573,605.9095799132832,584.3957654380939,595.1327514648438,2308200
2025-03-05,605.9295155880117,615.3629996539528,598.2574190446614,614.4773559570312,1615200
2025-03-06,610.009394039623,616.8058072422831,599.1629011421746,603.3920288085938,1671000
2025-03-07,602.8845057436924,611.611454243835,591.6101929960626,606.6160888671875,1689700
2025-03-10,600.9241937274825,603.3720733199756,572.6139050451962,576.9326171875,2375900
2025-03-11,576.9325943802743,592.1872614461482,574.5443570457454,583.8285522460938,1909300
2025-03-12,586.1172723724384,594.3367156982391,582.7140856326091,588.23681640625,1874700
2025-03-13,583.2016592476322,583.3011438331885,560.9514275841469,578.4650268554688,2269800
2025-03-14,586.3262236950334,598.5857256288941,583.9480074997994,595.8591918945312,2063100
2025-03-17,592.4957466730451,602.3571105328055,589.0129359295761,599.1528930664062,1558800
