Ticker,LMT,LMT,LMT,LMT,LMT
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,472.0258118324619,475.6975758024151,467.6352461804614,468.44146728515625,953700
2025-01-03,467.6352325561065,470.063648593625,467.13982619845257,468.0237731933594,817200
2025-01-06,465.0416597685589,466.2558677575107,452.5207327574875,452.65673828125,1698600
2025-01-07,452.38478534044646,459.8643188804842,449.68438778886497,450.6751708984375,1276600
2025-01-08,450.2282940677305,455.7845106624716,448.0329966753815,455.42510986328125,998700
2025-01-10,454.5994537936927,458.0866554482364,452.39446284127195,454.64801025390625,1127400
2025-01-13,455.5708270752487,470.93785014780906,455.376541943943,469.32537841796875,1435200
2025-01-14,471.1127114477456,471.306996588317,464.28400673354173,470.5881652832031,1162000
2025-01-15,473.7936694545886,473.7936694545886,466.6152577613282,470.1121826171875,882200
2025-01-16,468.0043219571509,473.0554391194168,467.7129238932222,472.91943359375,956400
2025-01-17,473.5799980156921,477.96084046124923,470.32591454346505,476.2803955078125,1337600
2025-01-21,480.8263859717394,494.9597557624992,480.55440455532363,491.7931213378906,1615900
2025-01-22,488.8304374424494,491.05487488876554,481.00122631294937,485.0421142578125,1324800
2025-01-23,489.1023934405625,491.51139275665327,479.83557943446056,483.04107666015625,913000
2025-01-24,480.82635481782086,483.0507921130864,480.43781419722296,482.730224609375,759400
2025-01-27,485.7706529151191,492.5896348415728,482.55543228091324,489.267578125,1948600
2025-01-28,460.1362661789608,465.99360426608064,444.1766940223066,444.3515625,4023900
2025-01-29,446.8285575117601,449.24725043489957,436.53206743165197,441.35003662109375,2396800
2025-01-30,443.5064539719052,446.7217039999046,438.3970869105484,446.4885559082031,1911800
2025-01-31,446.82851870402175,450.93740901515815,444.06011869199716,449.6940612792969,1473800
2025-02-03,445.6628932440388,448.1204490545985,440.59235944139687,442.37969970703125,1476300
2025-02-04,441.0003279926674,442.3699581192337,438.3387936489315,440.6894836425781,1234200
2025-02-05,443.91446442453673,444.0116069975812,435.92010792737284,436.9886169433594,1139700
2025-02-06,437.114848416045,439.2227263949892,431.8986159679465,435.6772155761719,1291800
2025-02-07,437.0177360328739,438.5719281966508,431.07297842689604,431.66552734375,1347400
2025-02-10,432.0637477253719,436.0852187094818,428.0908628458099,435.3858337402344,1427800
2025-02-11,435.0750079255898,438.86333098552456,432.2580512730101,436.4931945800781,906100
2025-02-12,434.45332513312695,436.279498622307,428.42111872910687,429.3147888183594,1282800
2025-02-13,429.8296292604268,432.54944330559175,419.64000527537166,422.27239990234375,2400000
2025-02-14,421.13588174021976,422.6997970250936,407.6824811066357,411.0725402832031,3252800
2025-02-18,417.38644412906586,420.53366187966526,411.37368354937075,416.2693786621094,2812500
2025-02-19,418.65889384196953,425.45845824311516,413.39407521954746,420.5530700683594,2802100
2025-02-20,417.2795649483648,425.45848307725515,417.01730669219046,423.7974548339844,1358000
2025-02-21,423.89461283442364,431.02443891067526,423.19522781541457,428.1006164550781,1652400
2025-02-24,429.34395724281126,435.4441371690179,425.9830377329706,427.6634826660156,1946200
2025-02-25,429.10112748523545,438.7370956720141,428.3726026507953,435.6189880371094,1715500
2025-02-26,433.06424912465855,435.1721271588335,426.7600909649866,428.8582458496094,1466900
2025-02-27,429.52854534133235,434.278512004698,428.80974363350765,433.67626953125,1458100
2025-02-28,434.2007737100924,437.89195411232043,432.28718074758876,437.4742736816406,1433600
2025-03-03,443.1498083654679,444.67632287646467,439.1965126475352,442.2397766113281,1579400
2025-03-04,441.1046601427959,453.78648418495953,438.8638033087144,439.1867370605469,2268700
2025-03-05,441.44716847072317,453.53210001148676,439.7249347041667,450.53778076171875,2060100
2025-03-06,451.4184140740517,453.5516162347432,443.6781876546937,451.59454345703125,1395800
2025-03-07,448.16970531288075,467.24137164452,448.16970531288075,463.4837951660156,2168700
2025-03-10,465.2549232801158,483.59271630984017,463.53271946751175,468.88531494140625,2284400
2025-03-11,466.4781201777024,468.37648335076085,456.5264208317572,458.8161926269531,1456900
2025-03-12,455.15643024649614,456.8003642127596,446.2125933183234,451.59454345703125,1271500
2025-03-13,450.175693951292,458.4736940203688,449.9897696318004,457.8865661621094,1159200
2025-03-14,455.9197335538213,458.93361279683967,452.04470756093,456.16436767578125,972400
2025-03-17,453.88435354441367,462.13340883554866,452.89602215177047,457.57342529296875,1051600
