Ticker,EMR,EMR,EMR,EMR,EMR
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,123.29976147225321,123.39808513937196,119.20943090590205,120.1336898803711,1837700
2025-01-03,120.55648842103473,121.50040912844284,119.74038773074133,121.37258911132812,1621100
2025-01-06,122.05102314587599,122.52298723290964,119.7108869476047,120.0451889038086,2311000
2025-01-07,120.51715080955145,121.60856070829915,117.77387788850571,118.65880584716797,2622200
2025-01-08,118.48182647193087,118.48182647193087,116.6038121777002,118.2851791381836,2562500
2025-01-10,116.45632460289524,117.10526677309223,115.25675642284206,115.9646987915039,3736100
2025-01-13,114.77496880840302,116.61364459932865,114.54881762739808,116.48582458496094,2254900
2025-01-14,117.41008137359563,118.57031110171584,116.6529734134998,117.7837142944336,2074200
2025-01-15,120.02553126181502,120.44832978070167,117.99020060150369,118.6981430053711,2405500
2025-01-16,118.5604940284487,121.43158724635543,118.49166670821174,121.22510528564453,2872000
2025-01-17,122.51315562440308,123.30959457197812,121.6282276279946,122.44432830810547,4240200
2025-01-21,124.11585633575179,127.4294170235634,123.52589935750514,127.31141662597656,4432800
2025-01-22,129.0026246957112,129.42543074365216,127.6260782673168,127.76373291015625,2860500
2025-01-23,127.56707138969693,129.8482073608974,126.76079785462915,128.97311401367188,4078000
2025-01-24,129.14027058306075,129.60240006766819,128.03903351500722,128.4126739501953,2725900
2025-01-27,125.85621128442973,127.82271458574895,125.26626179435692,126.81979370117188,4261800
2025-01-28,127.43922539260956,128.56995859748613,125.1679168659549,127.82269287109375,3647900
2025-01-29,127.82270412966643,128.34382626162912,126.58381255234109,126.69197082519531,2188900
2025-01-30,127.52774416623059,129.50408971128516,126.91813290524844,128.25535583496094,2441400
2025-01-31,128.74696881110103,129.36642212930755,127.06560194878138,127.77354431152344,4718900
2025-02-03,124.74513496540148,126.92794724706651,124.12568164756489,125.7087173461914,3850900
2025-02-04,126.8886220073678,127.77354244626265,125.27608998315736,125.55139923095703,3209600
2025-02-05,124.90246454956407,124.92213378483056,120.32051544407344,122.67048645019531,4814900
2025-02-06,123.96837110233328,125.856212489285,122.92611924155831,125.34492492675781,3931500
2025-02-07,126.0921967721624,126.0921967721624,121.71672243650119,122.2870101928711,3012400
2025-02-10,123.51607222070768,124.6763094419134,122.75896426617751,124.62714385986328,2444500
2025-02-11,124.03718867171062,124.95161294378781,123.39807364256176,124.78446197509766,1920600
2025-02-12,122.62130737735004,123.51606994318443,121.82487597380275,122.41482543945312,2078000
2025-02-13,122.43449628956718,123.25059698699887,121.85438139726284,123.2014389038086,1951800
2025-02-14,123.69315910161438,123.9202672886143,121.53073087480027,121.7874526977539,2151800
2025-02-18,122.73537753873428,124.10788031973642,122.02443932890536,123.43643951416016,2296100
2025-02-19,122.73537809928413,122.98223122697107,121.39249648199848,122.86373901367188,1781200
2025-02-20,122.88347601135615,123.22907639448093,121.41223357471998,123.17970275878906,1438900
2025-02-21,123.37718503410919,123.64379061951958,119.36829281915263,120.31620788574219,2334300
2025-02-24,120.4939474602423,120.74080058788628,118.3808852902786,119.16094207763672,2758800
2025-02-25,117.9661672109429,119.4472858935277,116.74177787601336,118.21302032470703,2529100
2025-02-26,119.06219549634676,119.87187340719053,118.1340253790286,118.35125732421875,2173300
2025-02-27,118.85483964323794,120.59268013596738,118.38087835126498,118.48949432373047,2575400
2025-02-28,118.62773372375942,120.29646321127528,117.62057631750397,120.07923126220703,2590400
2025-03-03,121.29374887801222,121.48135966522477,114.93481744858407,115.69512176513672,2585400
2025-03-04,113.6709261477593,115.20141095475392,111.21226367583394,112.59464263916016,4194500
2025-03-05,113.29570659715291,115.13229442480056,112.25892800629339,114.3818588256836,2853700
2025-03-06,113.07847415873704,115.39889951883815,112.16018024886026,114.87556457519531,3488600
2025-03-07,113.87827756485098,117.40333964496061,113.49318731912666,117.11698913574219,3986800
2025-03-10,111.67635093873902,113.7005495534364,109.4053067352848,110.4223403930664,5156100
2025-03-11,110.71855686079971,110.82717283449323,107.64770349552117,109.32630920410156,5095000
2025-03-12,111.04441234294995,111.57761601374447,109.01034493956921,109.4448013305664,2263700
2025-03-13,109.1683287486533,110.17549376493355,107.31199587293186,107.82544708251953,2256900
2025-03-14,109.50404636039548,110.73831196965746,108.64499478433974,110.52108001708984,2058300
